,timecode,transcript,polarity,neg,neu,pos,compound
225,00:40:22.17 - 00:40:31.93,"Yeah, I mean, I think um at least in the apparel industry, it seems to be a growth, it seems to be growing and kind of not stopping.","{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.7135}",0.0,0.726,0.274,0.7135
226,00:40:31.93 - 00:40:56.69,"I remember whenever I first um I started working in this industry, there were few and far between, I mean obviously like the big examples that everybody thinks about Patagonia Island fisher obviously have existed for a long time, but the amount of jobs just from like job searches that I saw back then compared to now is like mind blowing.","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.8047}",0.0,0.863,0.137,0.8047
227,00:40:56.70 - 00:41:07.89,"Um so I definitely think that it seems like this is a growing kind of trend um which I think can only yield really positive results, I think.","{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.8775}",0.0,0.643,0.357,0.8775
228,00:41:07.90 - 00:41:48.61,"Um and I'm curious to know what you all are seeing as well in your research, but there's still, it still seems like we're all kind of occupying very small teams and team structures within organizations, even huge parent companies tend to have like much smaller uh sustainability teams compared to others, um although there is still quite a lot of, you know, metrics and analysis and strategizing, like there's still quite a lot of complexity in the work that we do, but we just sort of have to be jacks of all trades for a long time until the size of our teams can grow.","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.9313}",0.0,0.859,0.141,0.9313
229,00:41:48.62 - 00:42:29.91,"Um So I don't know, it's, I think maybe the next horizon or at least what I'm hoping is, you know, not everybody can kind of be the sustainability person or people in a company, but um hopefully there's you know, more education or at least more of a path to education for these types of topics within like specific trades or studies, so um I don't know, so they're a little sustainability advocates who are, you know, joining out of college to work in product development and they have a background and understanding similarly to what you would for like general accounting or or like finance.","{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.9349}",0.0,0.862,0.138,0.9349
230,00:42:29.92 - 00:43:25.48,"Um So I don't know, I haven't really seen that, I've seen a lot of big explosion in um people who are like traditionally educated or trained on these subjects who are coming in to kind of set the strategic goals um for companies generally, but not as much um you know, sustainability being like part of an education across other uh Yeah, that's actually a theme that I keep hearing and it's not all of our research at all, like we're we work on like right now we're working on auditing platform, we're looking to incorporate um ways to manage your science based targets, but everyone that I've spoken to has said something along the lines of like how it needs to become more part of the business and so it was really interesting to hear that your leadership has kpi s attached to sustainability.","{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.9663}",0.0,0.861,0.139,0.9663
231,00:43:25.67 - 00:43:45.19,"Um But I think yeah that's kind of what every company is gonna, you know, eventually it will, it's kind of like a thing now and eventually it will disappear and it will become something that we all do and attached to all of our KPI s and all of our professionals, no matter what role you have.","{'neg': 0.083, 'neu': 0.808, 'pos': 0.109, 'compound': 0.1557}",0.083,0.808,0.109,0.1557
232,00:43:46.26 - 00:43:49.39,"Yeah, well that's certainly what we're trying to do.","{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.6908}",0.0,0.472,0.528,0.6908
233,00:43:49.39 - 00:44:00,"But um again, ever Lynn is kind of a special place and we're we're also not like governed by um you know, we're not publicly traded.","{'neg': 0.093, 'neu': 0.799, 'pos': 0.108, 'compound': 0.1143}",0.093,0.799,0.108,0.1143
234,00:44:00 - 00:44:06.09,"So I don't think we have a lot of the same pressure um to deliver on, you know, whatever.","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",0.121,0.879,0.0,-0.296
235,00:44:06.10 - 00:44:12.27,"Um But yeah, I don't know, it's it's interesting, it's an interesting time.","{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.872}",0.0,0.476,0.524,0.872
236,00:44:12.27 - 00:44:14.61,"I think we're seeing a lot of progress, which is really cool.","{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.659}",0.0,0.597,0.403,0.659
237,00:44:14.62 - 00:44:15.73,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
238,00:44:15.74 - 00:44:21.50,"Yeah, I'll let you get back to your day and I hope you feel better.","{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.7906}",0.0,0.579,0.421,0.7906
239,00:44:21.50 - 00:44:26.34,"This has been super helpful, thank you so much for your time and Yeah, no worries.","{'neg': 0.189, 'neu': 0.379, 'pos': 0.432, 'compound': 0.7506}",0.189,0.379,0.432,0.7506
240,00:44:26.35 - 00:44:27.74,Happy to talk with you.,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.0,0.519,0.481,0.5719
241,00:44:27.75 - 00:44:32.67,Are you all going to be publishing something or is this more just for internal research?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
242,00:44:32.68 - 00:44:34.34,The research is internal.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
243,00:44:34.35 - 00:44:38.10,"Um Yeah, we were not publishing anything.","{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.0,0.732,0.268,0.296
244,00:44:38.11 - 00:44:42.40,"Our platform is at, our website has sustained that life.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
245,00:44:42.41 - 00:44:46.05,Um We we have some screenshots.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
246,00:44:46.06 - 00:44:55.71,"Um I believe, yeah, you can, if you are interested in getting more information, you could schedule a demo or I could connect you to that person myself.","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5994}",0.0,0.824,0.176,0.5994
247,00:44:55.72 - 00:45:00.44,"Um you know, I don't want to do any type of sales.","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.0572}",0.109,0.891,0.0,-0.0572
248,00:45:00.45 - 00:46:01.77,"No, no, it it might be interesting at some point maybe I don't know where in like your iteration um you're at, but I think we're always really intrigued to just kind of like learn what's out there and understand um you know what various platforms or partnerships would both cost us, but also afford us in in these big goals that we have, and I think a common theme is just like trying to um remove complexities for everybody um and so if we can use tools or platforms or software or whatever to kind of help us do that, then that's obviously really great, but okay, um so if I introduce you to someone via email, that's okay and Yeah, okay, cool, I'll find out who to connect you with and yeah, we have a lot of different things that you touched on, so they'll be able to help you out.","{'neg': 0.018, 'neu': 0.757, 'pos': 0.225, 'compound': 0.9882}",0.018,0.757,0.225,0.9882
249,00:46:01.78 - 00:46:02.41,Cool.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.0,0.0,1.0,0.3182
250,00:46:02.42 - 00:46:04.92,"Yeah, well, thank you so much.","{'neg': 0.0, 'neu': 0.306, 'pos': 0.694, 'compound': 0.7003}",0.0,0.306,0.694,0.7003
251,00:46:05.72 - 00:46:06.50,Alright.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",0.0,0.0,1.0,0.25
252,00:46:06.83 - 00:46:07.54,You too.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
253,00:46:07.55 - 00:46:08.30,Bye.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
